AppId	signaler	detected_ETS-related_type	ETS-related_type_oracle	correctness_comparison_result
zfapps.toyobd1-341	android.app.LoadedApk.forgetReceiverDispatcher	ParaAndField	ParaAndField	true
com.necta.aircall_accept.free-253	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.inisoft.mediaplayer.a-350	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
rwx.profile-468	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
jp.co.excite.netamanma_yoga-345	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
com.lenovo.leos.cloud.sync-388	android.os.Parcel.readException	Unknown	Unknown	true
com.codiwans.cinesa-28	android.os.Parcel.readException	Unknown	Unknown	true
com.efinite.pnrstatus-163	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
mobi.infolife.ezweather.widget.sunnyafternoon-337	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
info.thereisonlywe.salahaware-126	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.everydaycalculation.tvmfinancialcalculator-413	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.wlanplus.chang-354	android.os.Parcel.readException	Unknown	Unknown	true
com.poterion.logbook-400	android.app.FragmentManagerImpl.execPendingActions	Field	Field	true
com.koushikdutta.backup-313	android.app.ContextImpl.validateServiceIntent	Parameter	Parameter	true
com.fxsolutions.fxess.android-306	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.scalisoft.spacedraw-490	android.opengl.GLErrorWrapper.checkError	Field	Field	true
com.apps.salad.bengali.recipe-229	android.widget.Spinner.setAdapter	ParaAndField	ParaAndField	true
com.aizheke.aizheked-233	android.os.Parcel.readException	Unknown	Unknown	true
com.bigapps.mpcvol5-440	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
cn.mzyou.mzgame-275	android.os.Parcel.readException	Unknown	Unknown	true
com.yamlearning.geographylearning-211	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
com.jb.gokeyboard.theme.BestThemes.electriccolor-85	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
droidconsulting.livewallpaper9free-29	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.gsapp.wifitransport-492	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.akmact.voice.changer.girl.boy-455	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
circle.news.bd-405	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.news360.news360app-472	android.view.ViewGroup.addViewInner	ParaAndField	Parameter	false
com.dencreak.esmemo-58	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.iasku.iaskujuniorchemistry-396	android.os.Parcel.readException	Unknown	Unknown	true
com.corusen.accupedo.te-11	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.everydaycalculation.androidapp_free-298	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.ncsoft.android.buff-402	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
in.betterbutter.android-441	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.trapster.android-203	android.os.Parcel.readException	Unknown	Unknown	true
com.hukuhuku.area-207	android.os.Parcel.readException	Unknown	Unknown	true
com.eortes2-449	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.framy.moment-355	android.os.Parcel.readException	Unknown	Unknown	true
com.imcompany.school2-43	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.esthar.d3.sserver-381	com.android.vending.billing.util.IabHelper.checkSetupDone	Unknown	Unknown	true
com.xnview.XnSketch-311	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.bestringtonesapps.funnyalarmringtones-279	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.ophone.reader.ui-362	android.os.Parcel.readException	Unknown	Unknown	true
com.exampl.allelectronicradiodance-66	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
org.sensortracker.sensor_zh-487	android.view.Surface.checkNotReleasedLocked	Field	Field	true
mobi.infolife.ezweather.widget.armedheroes-384	android.graphics.Typeface.createFromAsset	ParaAndField	Parameter	false
com.dumplingsandwich.focuseffect-320	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
s.hd_live_wallpaper.birthday_greeting_cards_maker-291	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.cracked.android.lite-483	android.os.Parcel.readException	Unknown	Unknown	true
com.bluecorner.totalgym-499	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
ru.motivaciaplus.motiv.primer.app-438	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.rami.puissance4-175	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.alarmclock.xtreme-143	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.class123.teacher-330	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.world.newspapers-157	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
ru.hudeem.adg-312	android.app.LoadedApk.forgetServiceDispatcher	ParaAndField	ParaAndField	true
appvpn.vpn-325	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.manle.phone.android.baby-409	android.os.Parcel.readException	Unknown	Unknown	true
com.rormix-94	android.content.res.Resources.getText	ParaAndField	ParaAndField	true
com.fractalemagic-107	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.ciberdroix.ghostsandspirits-406	android.hardware.Camera.startPreview	Unknown	Unknown	true
com.openapp.gearfitphone-389	android.app.LoadedApk.forgetReceiverDispatcher	ParaAndField	ParaAndField	true
com.fsinib.batterymonitor-274	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.dietcoacher.sos-15	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.piclens.fotos365-338	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
vcam.dk.QuotidianiItaliani-92	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
fr.meilleurlogiciel.culturegenerale-460	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
org.youhu.baishitong-346	android.os.Parcel.readException	Unknown	Unknown	true
hk.gogovan.GoGoVanClient2-180	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.heuser.helidroid_full-420	android.view.ViewRootImpl.setView	Field	Field	true
com.colorsplashphoto.android-377	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.interpark.app-186	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.appfab.jokes.quotes-68	android.os.Parcel.readException	Unknown	Unknown	true
com.jawfin.sol3d-307	android.view.ViewRootImpl.setView	Field	Field	true
com.outthinking.photo-197	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.controlpointllp.bluebox-244	android.os.Parcel.readException	Unknown	Unknown	true
biz.mtoy.phitdroid.seventh-264	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.keerby.videotomp3-448	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.jaemokhakwon.jaemokhakwon-459	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.instacollage.android-336	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.rayg.soundfx-474	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.gallery.cloud.sync-213	android.app.ContextImpl.validateServiceIntent	Parameter	Parameter	true
com.futurecomes.android.alter-404	android.hardware.Camera.startPreview	Unknown	Unknown	true
com.streema.podcast-22	android.database.sqlite.SQLiteOpenHelper.onDowngrade	Empty	Empty	true
com.interpark.shop-122	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.dong.profile-7	android.database.CursorWindow.nativeGetLong	Unknown	Unknown	true
org.vv.baby.cognize.thomas-220	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.qrpopo-488	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.game.anak.indonesia.cerdas.cermat-382	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
kb2.soft.carexpenses-1	android.app.Instrumentation.checkStartActivityResult	Parameter	Parameter	true
com.calendar.example-109	android.database.sqlite.SQLiteConnection.nativePrepareStatement	Unknown	Unknown	true
